"year_month","total_revenue"
"2022-01","1303.24"
"2022-02","1059.37"
"2022-03","5576.82"
"2022-04","3508.14"
"2022-05","7043.16"
"2022-06","5259.79"
"2022-07","16546.22"
"2022-08","22477.03"
"2022-09","21005.58"
"2022-10","19390.28"
"2022-11","35703.47"
"2022-12","72907.56"
"2023-01","17548.04"
"2023-02","20286.34"
"2023-03","24526.64"
"2023-04","24112.32"
"2023-05","44638.87"
"2023-06","39199.63"
"2023-07","52296.52"
"2023-08","72471.86"
"2023-09","66198.36"
"2023-10","75332.45"
"2023-11","138475.66"
"2023-12","206420.81"
"2024-01","59099.99"
"2024-02","66060.95"
"2024-03","76323.95"
"2024-04","85779.06999999999"
"2024-05","100991.76"
"2024-06","115381.6"
"2024-07","185550.4"
"2024-08","212087.64"
"2024-09","175210.85"
"2024-10","251311.81"
"2024-11","393539.92"
"2024-12","759389.93"
