"region","acquisition_chan","top_customers","top_customer_revenue","avg_spent_per_customer"
"Europe","Influencer","12","125893.67","10491.14"
"Southeast Asia","Organic","12","117095.03","9757.92"
"North America","Influencer","11","95327.87","8666.17"
"Southeast Asia","Influencer","10","104977.69","10497.77"
"North America","Organic","10","89250.25","8925.02"
"Europe","Organic","7","56905.97","8129.42"
"Europe","Email","7","55967.38","7995.34"
"Europe","Social Ads","7","48352.83","6907.55"
"Southeast Asia","Referral","6","63714.53","10619.09"
"Southeast Asia","Social Ads","6","32194.19","5365.7"
"North America","Email","6","31075.51","5179.25"
"North America","Referral","5","58308.75","11661.75"
"Europe","Paid Search","5","39263.28","7852.66"
"North America","Social Ads","5","36933.73","7386.75"
"North America","Paid Search","5","32613.98","6522.8"
"Europe","Referral","4","29095.83","7273.96"
"Middle East","Referral","4","27459.42","6864.85"
"Latin America","Referral","3","19742.17","6580.72"
"Southeast Asia","Paid Search","3","17941.07","5980.36"
"Latin America","Social Ads","3","17468.81","5822.94"
"Middle East","Paid Search","3","17349.55","5783.18"
"Latin America","Organic","3","14367.35","4789.12"
"Latin America","Paid Search","3","13516.03","4505.34"
"Middle East","Organic","2","18265.98","9132.99"
"Middle East","Influencer","2","11637.37","5818.68"
"Latin America","Email","2","9425.56","4712.78"
"Middle East","Email","1","10615.72","10615.72"
"Southeast Asia","Email","1","8680.02","8680.02"
"Middle East","Social Ads","1","8521.31","8521.31"
"Latin America","Influencer","1","6250.63","6250.63"
