"customer_group","group_revenue","cumulative_revenue","cumulative_pct"
"1","1218211.48","1218211.48","35.07"
"2","411042.16","1629253.64","46.9"
"3","300634.31","1929887.95","55.55"
"4","247148.14","2177036.09","62.67"
"5","209695.35","2386731.44","68.7"
"6","181201.35","2567932.79","73.92"
"7","157790.84","2725723.63","78.46"
"8","138283.82","2864007.45","82.44"
"9","116742.57","2980750.02","85.8"
"10","99857.62","3080607.64","88.68"
"11","85023.31","3165630.95","91.12"
"12","72033.17","3237664.12","93.2"
"13","59264.45","3296928.57","94.9"
"14","48740.8","3345669.37","96.31"
"15","39519.92","3385189.29","97.44"
"16","31483.28","3416672.57","98.35"
"17","23654","3440326.57","99.03"
"18","17470.89","3457797.46","99.53"
"19","11439.69","3469237.15","99.86"
"20","4778.88","3474016.03","100"
